"ADDRESS_LINE","T?C.^,B","Calle Reforma No. 45, Centro","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T.???^","Priv. de las Flores 12","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T.?^","Av. Chapultepec 300","4.00000000000000000E+00","2.6666666E+01"
"ADDRESS_LINE","TN^","Circuito Interior 500","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T???^","Privada de las Flores #12","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T??^","AV INSURGENTES SUR #123","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T?^","Avenida Revolucion #1500","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T?^B.B","Calle Reforma 45 Col. Centro","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T?C^","Calzada Independencia No 77","1.00000000000000000E+00","6.6666665E+00"
"ADDRESS_LINE","T.??^","Av. Insurgentes Sur 123","2.00000000000000000E+00","1.3333333E+01"
"ADDRESS_LINE","T^??^","Calle 5 de Mayo 88","1.00000000000000000E+00","6.6666665E+00"
